order_line_id,prescription_code
OL_bba42be94a31788b,662502870
OL_031b96297016732d,662504840
OL_e132f3443909d2ed,652100870
OL_72cf193ba6291410,647303470
OL_5ad32b2620e24cf3,661700390
OL_876af71e3aadaa01,644704010
OL_a0ce46fc9a64f8f6,670608170
OL_1b52bcfd986c8c22,BAS
OL_a3593100b9673ac9,D0113
OL_5ba87c56011cd17c,D1830
OL_378039cb32a63f01,D1840
OL_5e7a9a687f1f96c5,D1850
OL_c22a60efe1194dfd,D1860
OL_e8e1d9f0243ff239,D1870
OL_a3cb7f61ac5772b9,D1880
OL_e68e6682d35760ea,D1890
OL_d9acaeaa536e8035,D2263
OL_601d57619bd1ad99,D2280
OL_ae86ea32c4f8e595,D2300
OL_9f44364e36ea3221,D2310
OL_58c0ba6770b8373e,D2611
OL_100aa2ac6a9370ac,D2613
OL_4a25ecc66bfe5fd4,D2800020
OL_f21c5ece83002a03,D2800030
OL_0340a4353436b626,D2800060
OL_68e90cc9899c512b,D3022
OL_7b32984797ca54a2,D3230050Z
OL_7a9fcdcf7350afea,D3230060Z
OL_b81a4e675c16f5df,D3250010Z
OL_641cac7dbcf8f2a8,D0013
OL_40ddd7ce1612dd71,EOS
OL_d2cc479fcde2ede5,D3063
OL_87a8480bf1557783,D0002040
OL_8d65e83738a6f1e1,D0002050
OL_ed279f3583f0e850,LYM
OL_a6705136d2db5ad5,MCH
OL_4fb7a3aa5c8c3c64,MCHC
OL_bec5ff136cabfdc5,MCV
OL_304ecf01316dd2cf,MON
OL_e4d2836456031f92,NEU
OL_c7efdd1db05aa029,D0002070
OL_ebf73321d5c98f2b,D0002030
OL_7cc4c02661044323,D0002010
OL_cf765d26ea495698,IA671
OL_18d1da7a6ecdf8ab,IA681
OL_4ebe7fda5aedb1a7,AA254090
OL_a8c25caf388baf27,628901650
OL_f27df83a73cf26b3,642201340
OL_87b93a38537c4999,642201350
OL_7845659c835f4196,653700240
OL_696b2b8512bba146,662503530
OL_ee6e57a7d6db38af,693901500
OL_7c99b2d87b40c252,693903110
OL_c064eb41eb056702,642202450
OL_eeb3c7c181f4471a,628900880
OL_f17916d5a6df1652,645301210
OL_e7cfe2f879d7ed2d,641602040
OL_a433b6eff1ae2d72,2CHOK12
OL_6ef2a1c80894d603,2CHOK20
OL_a9653b112e3dceb5,AAA
OL_c13d24638b50e65b,2CHOK20
OL_a34324791d7a531a,IA001010
OL_5704d62fd0c1729b,GSKS20
